Classifier,Neighbors,Metric,BatchSize,TotalTime,Accuracy,ConfusionMatrix
KNN,3,euclidean,20000,5.36,94.0,"[[5466, 3, 1, 12, 4, 2, 25, 2, 42, 3], [0, 6113, 157, 121, 55, 10, 32, 74, 38, 55], [14, 14, 5616, 143, 4, 1, 16, 50, 27, 3], [4, 1, 22, 5628, 0, 62, 1, 54, 25, 22], [14, 7, 20, 1, 5292, 21, 113, 29, 14, 211], [10, 3, 8, 377, 2, 4939, 38, 10, 81, 71], [26, 9, 5, 2, 4, 44, 5723, 0, 45, 0], [1, 16, 45, 123, 47, 2, 1, 5762, 5, 95], [34, 22, 33, 114, 34, 29, 54, 25, 5176, 174], [11, 8, 15, 93, 91, 11, 7, 119, 46, 5412]]"
KNN,5,euclidean,20000,5.43,93.85,"[[5472, 3, 1, 15, 6, 2, 26, 2, 32, 1], [0, 6105, 175, 119, 56, 6, 35, 66, 34, 59], [12, 11, 5607, 165, 3, 1, 16, 51, 20, 2], [4, 1, 25, 5646, 2, 51, 1, 53, 20, 16], [12, 11, 13, 3, 5305, 9, 132, 24, 11, 202], [9, 3, 9, 489, 4, 4842, 41, 16, 83, 43], [31, 10, 4, 2, 3, 44, 5724, 0, 40, 0], [1, 25, 41, 119, 54, 1, 0, 5773, 7, 76], [36, 24, 42, 114, 32, 38, 50, 27, 5165, 167], [16, 9, 17, 107, 78, 9, 9, 131, 34, 5403]]"
KNN,5,minkowski,20000,3.21,93.85,"[[5472, 3, 1, 15, 6, 2, 26, 2, 32, 1], [0, 6105, 175, 119, 56, 6, 35, 66, 34, 59], [12, 11, 5607, 165, 3, 1, 16, 51, 20, 2], [4, 1, 25, 5646, 2, 51, 1, 53, 20, 16], [12, 11, 13, 3, 5305, 9, 132, 24, 11, 202], [9, 3, 9, 489, 4, 4842, 41, 16, 83, 43], [31, 10, 4, 2, 3, 44, 5724, 0, 40, 0], [1, 25, 41, 119, 54, 1, 0, 5773, 7, 76], [36, 24, 42, 114, 32, 38, 50, 27, 5165, 167], [16, 9, 17, 107, 78, 9, 9, 131, 34, 5403]]"
KNN,3,minkowski,10000,1.76,93.82,"[[5476, 3, 2, 16, 4, 2, 24, 2, 30, 1], [0, 6121, 167, 116, 57, 4, 35, 62, 34, 59], [14, 14, 5607, 161, 3, 1, 15, 51, 20, 2], [4, 3, 26, 5645, 2, 52, 1, 52, 18, 16], [15, 13, 15, 5, 5307, 2, 130, 22, 11, 202], [10, 4, 11, 499, 4, 4835, 39, 13, 81, 43], [33, 11, 5, 2, 3, 45, 5719, 0, 40, 0], [1, 28, 47, 122, 60, 1, 0, 5755, 7, 76], [39, 25, 51, 112, 33, 35, 48, 30, 5155, 167], [19, 10, 22, 111, 79, 6, 8, 129, 26, 5403]]"
KNN,3,euclidean,10000,3.78,93.82,"[[5476, 3, 2, 16, 4, 2, 24, 2, 30, 1], [0, 6121, 167, 116, 57, 4, 35, 62, 34, 59], [14, 14, 5607, 161, 3, 1, 15, 51, 20, 2], [4, 3, 26, 5645, 2, 52, 1, 52, 18, 16], [15, 13, 15, 5, 5307, 2, 130, 22, 11, 202], [10, 4, 11, 499, 4, 4835, 39, 13, 81, 43], [33, 11, 5, 2, 3, 45, 5719, 0, 40, 0], [1, 28, 47, 122, 60, 1, 0, 5755, 7, 76], [39, 25, 51, 112, 33, 35, 48, 30, 5155, 167], [19, 10, 22, 111, 79, 6, 8, 129, 26, 5403]]"
KNN,7,minkowski,20000,3.31,93.82,"[[5468, 3, 1, 16, 4, 2, 27, 3, 35, 1], [0, 6065, 174, 125, 60, 5, 40, 66, 43, 77], [13, 9, 5597, 167, 2, 1, 17, 59, 21, 2], [4, 2, 24, 5639, 1, 53, 2, 53, 21, 20], [10, 10, 12, 4, 5302, 0, 138, 22, 16, 208], [6, 4, 7, 480, 3, 4838, 41, 14, 92, 54], [30, 9, 5, 0, 3, 37, 5730, 0, 44, 0], [1, 24, 35, 112, 54, 1, 0, 5775, 9, 86], [29, 24, 45, 97, 27, 32, 53, 29, 5183, 176], [16, 8, 16, 102, 73, 5, 9, 131, 30, 5423]]"
KNN,7,euclidean,20000,5.39,93.82,"[[5468, 3, 1, 16, 4, 2, 27, 3, 35, 1], [0, 6065, 174, 125, 60, 5, 40, 66, 43, 77], [13, 9, 5597, 167, 2, 1, 17, 59, 21, 2], [4, 2, 24, 5639, 1, 53, 2, 53, 21, 20], [10, 10, 12, 4, 5302, 0, 138, 22, 16, 208], [6, 4, 7, 480, 3, 4838, 41, 14, 92, 54], [30, 9, 5, 0, 3, 37, 5730, 0, 44, 0], [1, 24, 35, 112, 54, 1, 0, 5775, 9, 86], [29, 24, 45, 97, 27, 32, 53, 29, 5183, 176], [16, 8, 16, 102, 73, 5, 9, 131, 30, 5423]]"
KNN,3,euclidean,15000,4.6,93.74,"[[5470, 3, 2, 16, 6, 2, 25, 2, 32, 2], [0, 6093, 174, 118, 53, 5, 46, 69, 40, 57], [11, 13, 5614, 147, 3, 3, 15, 56, 24, 2], [4, 4, 23, 5629, 2, 58, 2, 57, 22, 18], [12, 10, 19, 4, 5299, 2, 130, 26, 18, 202], [9, 5, 9, 416, 7, 4898, 44, 15, 86, 50], [34, 9, 3, 4, 5, 43, 5705, 0, 55, 0], [1, 19, 44, 118, 56, 1, 1, 5757, 7, 93], [41, 30, 38, 132, 36, 37, 52, 29, 5135, 165], [11, 9, 19, 103, 107, 6, 8, 139, 35, 5376]]"
KNN,3,minkowski,15000,2.43,93.74,"[[5470, 3, 2, 16, 6, 2, 25, 2, 32, 2], [0, 6093, 174, 118, 53, 5, 46, 69, 40, 57], [11, 13, 5614, 147, 3, 3, 15, 56, 24, 2], [4, 4, 23, 5629, 2, 58, 2, 57, 22, 18], [12, 10, 19, 4, 5299, 2, 130, 26, 18, 202], [9, 5, 9, 416, 7, 4898, 44, 15, 86, 50], [34, 9, 3, 4, 5, 43, 5705, 0, 55, 0], [1, 19, 44, 118, 56, 1, 1, 5757, 7, 93], [41, 30, 38, 132, 36, 37, 52, 29, 5135, 165], [11, 9, 19, 103, 107, 6, 8, 139, 35, 5376]]"
KNN,5,euclidean,15000,4.51,93.53,"[[5462, 4, 1, 18, 5, 2, 34, 3, 31, 0], [0, 6067, 179, 115, 54, 6, 48, 68, 49, 69], [12, 12, 5590, 173, 2, 2, 15, 58, 22, 2], [4, 3, 24, 5643, 0, 51, 2, 60, 17, 15], [10, 9, 18, 2, 5313, 0, 135, 23, 11, 201], [8, 3, 6, 495, 9, 4821, 50, 17, 84, 46], [34, 10, 3, 0, 8, 49, 5707, 0, 47, 0], [1, 23, 45, 119, 68, 1, 0, 5745, 9, 86], [37, 30, 44, 117, 37, 43, 59, 31, 5136, 161], [15, 8, 15, 110, 103, 7, 9, 137, 39, 5370]]"
KNN,5,minkowski,15000,2.46,93.53,"[[5462, 4, 1, 18, 5, 2, 34, 3, 31, 0], [0, 6067, 179, 115, 54, 6, 48, 68, 49, 69], [12, 12, 5590, 173, 2, 2, 15, 58, 22, 2], [4, 3, 24, 5643, 0, 51, 2, 60, 17, 15], [10, 9, 18, 2, 5313, 0, 135, 23, 11, 201], [8, 3, 6, 495, 9, 4821, 50, 17, 84, 46], [34, 10, 3, 0, 8, 49, 5707, 0, 47, 0], [1, 23, 45, 119, 68, 1, 0, 5745, 9, 86], [37, 30, 44, 117, 37, 43, 59, 31, 5136, 161], [15, 8, 15, 110, 103, 7, 9, 137, 39, 5370]]"
KNN,9,minkowski,20000,3.36,93.5,"[[5462, 2, 1, 20, 5, 2, 33, 3, 31, 1], [0, 6048, 182, 130, 60, 7, 46, 68, 44, 70], [12, 10, 5588, 174, 2, 1, 17, 59, 23, 2], [4, 3, 22, 5644, 1, 51, 2, 54, 18, 20], [12, 7, 13, 3, 5294, 0, 143, 24, 13, 213], [3, 3, 7, 555, 5, 4762, 45, 15, 90, 54], [36, 11, 3, 0, 3, 47, 5717, 0, 41, 0], [0, 21, 33, 119, 60, 1, 0, 5769, 11, 83], [33, 24, 41, 104, 29, 37, 50, 31, 5160, 186], [17, 7, 14, 110, 80, 4, 9, 142, 40, 5390]]"
KNN,9,euclidean,20000,5.33,93.5,"[[5462, 2, 1, 20, 5, 2, 33, 3, 31, 1], [0, 6048, 182, 130, 60, 7, 46, 68, 44, 70], [12, 10, 5588, 174, 2, 1, 17, 59, 23, 2], [4, 3, 22, 5644, 1, 51, 2, 54, 18, 20], [12, 7, 13, 3, 5294, 0, 143, 24, 13, 213], [3, 3, 7, 555, 5, 4762, 45, 15, 90, 54], [36, 11, 3, 0, 3, 47, 5717, 0, 41, 0], [0, 21, 33, 119, 60, 1, 0, 5769, 11, 83], [33, 24, 41, 104, 29, 37, 50, 31, 5160, 186], [17, 7, 14, 110, 80, 4, 9, 142, 40, 5390]]"
KNN,5,euclidean,10000,3.76,93.48,"[[5465, 2, 1, 20, 4, 2, 33, 3, 30, 0], [1, 6070, 182, 122, 57, 7, 44, 68, 39, 65], [14, 10, 5595, 170, 2, 1, 16, 56, 22, 2], [4, 4, 22, 5648, 1, 49, 2, 54, 17, 18], [14, 9, 13, 3, 5299, 0, 142, 23, 12, 207], [3, 3, 7, 579, 6, 4753, 46, 14, 81, 47], [36, 12, 3, 1, 4, 51, 5715, 0, 36, 0], [1, 22, 37, 125, 64, 1, 0, 5766, 8, 73], [35, 26, 44, 120, 31, 43, 50, 32, 5136, 178], [17, 13, 14, 113, 81, 3, 9, 142, 43, 5378]]"
KNN,5,minkowski,10000,1.79,93.48,"[[5465, 2, 1, 20, 4, 2, 33, 3, 30, 0], [1, 6070, 182, 122, 57, 7, 44, 68, 39, 65], [14, 10, 5595, 170, 2, 1, 16, 56, 22, 2], [4, 4, 22, 5648, 1, 49, 2, 54, 17, 18], [14, 9, 13, 3, 5299, 0, 142, 23, 12, 207], [3, 3, 7, 579, 6, 4753, 46, 14, 81, 47], [36, 12, 3, 1, 4, 51, 5715, 0, 36, 0], [1, 22, 37, 125, 64, 1, 0, 5766, 8, 73], [35, 26, 44, 120, 31, 43, 50, 32, 5136, 178], [17, 13, 14, 113, 81, 3, 9, 142, 43, 5378]]"
KNN,7,euclidean,15000,4.66,93.3,"[[5452, 2, 1, 22, 5, 2, 40, 2, 34, 0], [0, 6051, 174, 121, 52, 4, 63, 68, 55, 67], [11, 10, 5574, 197, 3, 1, 17, 55, 19, 1], [4, 4, 26, 5637, 1, 45, 2, 64, 16, 20], [9, 7, 18, 4, 5300, 0, 142, 23, 14, 205], [5, 4, 6, 552, 10, 4760, 47, 20, 85, 50], [33, 11, 3, 0, 6, 51, 5699, 0, 55, 0], [1, 21, 41, 117, 62, 2, 0, 5739, 10, 104], [34, 33, 40, 119, 33, 35, 56, 30, 5142, 173], [13, 10, 11, 125, 93, 6, 10, 146, 38, 5361]]"
KNN,7,minkowski,15000,2.43,93.3,"[[5452, 2, 1, 22, 5, 2, 40, 2, 34, 0], [0, 6051, 174, 121, 52, 4, 63, 68, 55, 67], [11, 10, 5574, 197, 3, 1, 17, 55, 19, 1], [4, 4, 26, 5637, 1, 45, 2, 64, 16, 20], [9, 7, 18, 4, 5300, 0, 142, 23, 14, 205], [5, 4, 6, 552, 10, 4760, 47, 20, 85, 50], [33, 11, 3, 0, 6, 51, 5699, 0, 55, 0], [1, 21, 41, 117, 62, 2, 0, 5739, 10, 104], [34, 33, 40, 119, 33, 35, 56, 30, 5142, 173], [13, 10, 11, 125, 93, 6, 10, 146, 38, 5361]]"
KNN,7,minkowski,10000,1.7,93.19,"[[5457, 2, 1, 20, 4, 3, 38, 4, 30, 1], [0, 6036, 171, 139, 56, 6, 52, 69, 50, 76], [11, 11, 5572, 194, 4, 2, 15, 55, 23, 1], [3, 4, 22, 5647, 2, 42, 2, 59, 19, 19], [10, 7, 16, 8, 5299, 0, 140, 27, 16, 199], [2, 3, 8, 627, 5, 4699, 45, 17, 87, 46], [33, 13, 4, 0, 2, 50, 5710, 0, 46, 0], [0, 21, 36, 126, 66, 2, 0, 5757, 7, 82], [36, 29, 43, 115, 30, 38, 58, 31, 5134, 181], [19, 15, 11, 127, 94, 4, 9, 147, 45, 5342]]"
