Classifier,BatchSize,TotalTime,Accuracy,ConfusionMatrix
LinDisc,13000,0.2069,92.4223,"[[5351, 8, 13, 15, 22, 0, 57, 17, 76, 1], [0, 5996, 233, 94, 8, 35, 40, 203, 22, 24], [20, 41, 5591, 12, 1, 0, 7, 191, 24, 1], [1, 16, 29, 5412, 1, 17, 2, 305, 21, 15], [19, 98, 43, 0, 5168, 0, 85, 8, 26, 275], [8, 12, 7, 306, 5, 5018, 54, 25, 67, 37], [80, 49, 36, 23, 65, 45, 5434, 0, 123, 3], [0, 72, 45, 3, 53, 1, 0, 5880, 22, 21], [80, 65, 37, 4, 50, 32, 60, 55, 4921, 391], [28, 34, 11, 98, 62, 8, 17, 99, 25, 5431]]"
LinDisc,9000,0.1809,92.3712,"[[5352, 13, 11, 16, 20, 0, 50, 17, 79, 2], [0, 5982, 205, 92, 8, 21, 42, 234, 31, 40], [20, 37, 5595, 12, 1, 0, 11, 186, 25, 1], [1, 12, 31, 5436, 1, 18, 2, 277, 21, 20], [25, 88, 47, 0, 5143, 0, 87, 7, 31, 294], [9, 11, 6, 340, 5, 4970, 56, 26, 69, 47], [84, 46, 37, 28, 74, 37, 5419, 0, 130, 3], [0, 60, 48, 4, 52, 1, 0, 5880, 28, 24], [87, 56, 39, 4, 50, 27, 56, 52, 4958, 366], [35, 31, 9, 88, 61, 6, 18, 96, 32, 5437]]"
LinDisc,17000,0.2277,92.3149,"[[5338, 11, 11, 15, 22, 0, 57, 17, 87, 2], [0, 5952, 235, 94, 8, 35, 42, 233, 29, 27], [21, 44, 5568, 12, 1, 0, 13, 201, 27, 1], [1, 15, 29, 5425, 1, 17, 1, 289, 23, 18], [22, 79, 42, 0, 5179, 0, 88, 7, 31, 274], [10, 10, 8, 308, 6, 5000, 55, 28, 73, 41], [84, 45, 37, 24, 70, 38, 5420, 0, 138, 2], [0, 59, 48, 3, 50, 1, 0, 5889, 23, 24], [79, 59, 36, 6, 57, 29, 58, 57, 4935, 379], [33, 31, 9, 86, 69, 7, 17, 100, 28, 5433]]"
LinDisc,14000,0.2087,92.2041,"[[5339, 9, 13, 17, 23, 0, 60, 17, 80, 2], [0, 5964, 247, 95, 8, 36, 46, 213, 21, 25], [20, 39, 5590, 12, 1, 0, 10, 189, 27, 0], [1, 16, 29, 5398, 0, 17, 2, 319, 23, 14], [21, 99, 48, 0, 5137, 0, 84, 9, 32, 292], [8, 11, 10, 307, 6, 5010, 56, 26, 67, 38], [82, 50, 36, 23, 69, 44, 5435, 0, 116, 3], [0, 71, 45, 3, 49, 1, 0, 5883, 25, 20], [85, 67, 36, 4, 48, 33, 69, 59, 4900, 394], [30, 33, 12, 104, 62, 7, 17, 105, 25, 5418]]"
LinDisc,16000,0.2206,92.1052,"[[5329, 9, 14, 16, 24, 0, 60, 18, 88, 2], [0, 5940, 258, 86, 8, 32, 43, 230, 30, 28], [20, 42, 5586, 12, 1, 0, 12, 187, 27, 1], [1, 18, 30, 5407, 0, 17, 2, 304, 22, 18], [21, 95, 45, 0, 5141, 0, 89, 8, 31, 292], [9, 12, 9, 314, 5, 4995, 55, 28, 71, 41], [84, 45, 36, 26, 70, 42, 5412, 0, 141, 2], [0, 66, 45, 3, 48, 1, 0, 5885, 25, 24], [82, 64, 35, 5, 52, 29, 61, 63, 4893, 411], [32, 33, 11, 95, 61, 6, 18, 102, 27, 5428]]"
LinDisc,15000,0.2165,92.083,"[[5335, 9, 14, 18, 24, 0, 59, 17, 81, 3], [0, 5945, 265, 91, 7, 36, 47, 216, 20, 28], [21, 41, 5581, 12, 1, 0, 13, 192, 27, 0], [1, 18, 30, 5397, 0, 17, 2, 314, 24, 16], [21, 97, 46, 0, 5146, 0, 85, 6, 34, 287], [8, 12, 10, 314, 5, 4996, 58, 28, 71, 37], [83, 47, 35, 25, 70, 46, 5422, 0, 128, 2], [0, 73, 43, 3, 52, 1, 0, 5871, 29, 25], [90, 62, 35, 6, 51, 32, 64, 63, 4888, 404], [32, 32, 11, 102, 61, 7, 18, 100, 28, 5422]]"
LinDisc,8000,0.1708,92.0762,"[[5333, 14, 13, 15, 19, 0, 62, 19, 83, 2], [0, 5940, 218, 97, 8, 34, 44, 246, 26, 42], [21, 38, 5568, 13, 1, 0, 14, 206, 26, 1], [1, 14, 30, 5405, 1, 20, 2, 302, 22, 22], [21, 90, 51, 0, 5133, 0, 88, 6, 32, 301], [8, 10, 8, 326, 5, 4970, 63, 34, 71, 44], [81, 42, 38, 34, 77, 34, 5438, 0, 113, 1], [0, 59, 42, 3, 49, 1, 0, 5894, 25, 24], [81, 59, 42, 6, 56, 28, 70, 56, 4885, 412], [31, 34, 9, 79, 70, 7, 20, 96, 34, 5433]]"
KNN,6000,1.0692,91.6874,"[[5422, 4, 1, 23, 10, 4, 61, 7, 27, 1], [0, 5857, 172, 139, 57, 5, 115, 84, 133, 93], [14, 9, 5419, 332, 5, 2, 27, 51, 25, 4], [4, 4, 17, 5585, 7, 35, 3, 121, 22, 21], [13, 7, 25, 1, 5301, 0, 164, 27, 13, 171], [7, 5, 6, 606, 25, 4585, 57, 40, 128, 80], [38, 15, 2, 0, 12, 102, 5601, 0, 88, 0], [0, 21, 48, 95, 80, 1, 1, 5725, 37, 89], [65, 37, 47, 139, 49, 17, 75, 36, 5041, 189], [14, 13, 5, 159, 150, 2, 9, 188, 38, 5235]]"
LinDisc,7000,0.1627,91.2441,"[[5313, 12, 14, 16, 27, 0, 61, 22, 93, 2], [0, 5713, 274, 92, 7, 52, 71, 341, 45, 60], [21, 40, 5530, 10, 1, 0, 22, 235, 28, 1], [1, 16, 30, 5326, 0, 26, 2, 371, 25, 22], [22, 85, 44, 0, 5114, 0, 87, 9, 37, 324], [9, 9, 12, 291, 4, 4988, 59, 40, 87, 40], [107, 46, 36, 29, 120, 43, 5330, 0, 147, 0], [0, 56, 40, 2, 46, 1, 0, 5910, 22, 20], [84, 54, 36, 5, 65, 33, 67, 68, 4866, 417], [30, 33, 9, 81, 75, 6, 19, 104, 35, 5421]]"
LogReg,20000,0.5126,91.1435,"[[5377, 5, 18, 12, 15, 4, 71, 6, 51, 1], [1, 5581, 121, 269, 205, 78, 182, 72, 72, 74], [22, 19, 5585, 90, 12, 1, 33, 82, 43, 1], [4, 3, 40, 5591, 15, 39, 1, 75, 21, 30], [37, 8, 28, 0, 5311, 2, 106, 41, 9, 180], [6, 12, 27, 494, 80, 4724, 49, 22, 73, 52], [86, 26, 0, 0, 20, 96, 5519, 0, 111, 0], [0, 40, 40, 121, 168, 2, 0, 5603, 15, 108], [81, 43, 47, 53, 84, 46, 57, 55, 5000, 229], [56, 23, 8, 143, 252, 0, 4, 149, 17, 5161]]"
